Embarcaciones;Drones;Prob. de falla;TMI
45;5;0,002;59,96
45;5;0,002;59,33
45;5;0,002;61,84
45;5;0,002;54,71
45;5;0,002;56,47
45;5;0,002;38,44
45;5;0,002;64,49
45;5;0,002;47,22
45;5;0,002;58,58
45;5;0,002;57,96
45;5;0,002;64,07
45;1;0,004;59,07
45;1;0,004;50,69
45;1;0,004;55,13
45;1;0,004;72,71
45;1;0,004;73,11
45;1;0,004;49,91
45;1;0,004;64,44
45;1;0,004;58,42
45;1;0,004;59,71
45;1;0,004;56
45;1;0,004;69,4
45;1;0,004;64,8
45;1;0,004;70,42
45;1;0,004;47,96
45;1;0,004;60,02
45;1;0,004;72,24
45;1;0,004;61,93
45;1;0,004;60,64
45;1;0,004;58,18
45;1;0,004;50,04
45;1;0,004;57,76
45;1;0,004;72,87
45;1;0,004;76,16
45;1;0,004;57,2
45;1;0,004;68,24
45;1;0,004;58,49
45;1;0,004;67,29
45;1;0,004;62,69
45;1;0,004;68,47
45;1;0,004;64,53
45;3;0,004;57,27
45;3;0,004;58,76
45;3;0,004;67,04
45;3;0,004;52,8
45;3;0,004;59,38
45;3;0,004;63,62
45;3;0,004;60,69
45;3;0,004;54,84
45;3;0,004;57,62
45;3;0,004;73,71
45;3;0,004;69,73
45;3;0,004;70,98
45;3;0,004;74,27
45;3;0,004;57,2
45;3;0,004;58,24
45;3;0,004;63,29
45;3;0,004;52,58
45;3;0,004;63,87
45;3;0,004;51,24
45;3;0,004;63,38
45;3;0,004;54,13
45;3;0,004;68,31
45;3;0,004;70,27
45;3;0,004;54,62
45;3;0,004;54,71
45;3;0,004;49,6
45;3;0,004;76,09
45;3;0,004;65,38
45;3;0,004;62,13
45;3;0,004;52,82
45;5;0,004;50,44
45;5;0,004;61,22
45;5;0,004;57,67
45;5;0,004;53,49
45;5;0,004;63,98
45;5;0,004;59,87
45;5;0,004;65,38
45;5;0,004;57,76
45;5;0,004;54,24
45;5;0,004;53,4
45;5;0,004;50,49
45;5;0,004;64,82
45;5;0,004;45,82
45;5;0,004;60,8
45;5;0,004;51,87
45;5;0,004;38,69
45;5;0,004;71,44
45;5;0,004;50,24
45;5;0,004;64,84
45;5;0,004;57,73
45;5;0,004;55,62
45;5;0,004;73
45;5;0,004;50,51
45;5;0,004;61,49
45;5;0,004;57,42
45;5;0,004;48,27
45;5;0,004;57,78
45;5;0,004;55,87
45;5;0,004;73,4
45;5;0,004;47,11
